EmployeeNumber,Department,JobRole,Age,Gender,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,WorkLifeBalance,Attrition_Actual,Attrition_Prob,Risk_Score,Risk_Tier,salary_band
1939,Research & Development,Research Scientist,32,Female,2432,4,Yes,3,3,Yes,0.95448434,95.4,🔴 Critical,< $3K
554,Sales,Sales Representative,24,Female,3202,5,Yes,2,3,Yes,0.9539431,95.4,🔴 Critical,$3K-$6K
1111,Research & Development,Laboratory Technician,28,Male,2596,1,No,2,3,Yes,0.9536457,95.4,🔴 Critical,< $3K
986,Sales,Sales Executive,40,Female,13194,1,Yes,2,2,Yes,0.9535231,95.4,🔴 Critical,> $10K
440,Research & Development,Research Scientist,28,Male,3464,3,Yes,4,2,Yes,0.9529311,95.3,🔴 Critical,$3K-$6K
994,Research & Development,Research Scientist,29,Female,2404,0,Yes,1,3,Yes,0.95249087,95.2,🔴 Critical,< $3K
1692,Research & Development,Laboratory Technician,32,Male,1393,1,No,2,3,Yes,0.95158726,95.2,🔴 Critical,< $3K
1876,Sales,Sales Representative,30,Male,1081,1,No,4,2,Yes,0.95143723,95.1,🔴 Critical,< $3K
394,Research & Development,Laboratory Technician,26,Male,2373,3,Yes,2,3,Yes,0.9510933,95.1,🔴 Critical,< $3K
1277,Sales,Manager,45,Female,18824,24,Yes,2,3,Yes,0.9506634,95.1,🔴 Critical,> $10K
1734,Sales,Sales Executive,32,Male,6735,0,No,2,3,Yes,0.95054746,95.1,🔴 Critical,$6K-$10K
1219,Research & Development,Laboratory Technician,24,Female,2210,1,No,2,1,Yes,0.94972074,95.0,🔴 Critical,< $3K
1433,Research & Development,Research Scientist,31,Female,1261,1,No,2,4,Yes,0.9472163,94.7,🔴 Critical,< $3K
932,Research & Development,Laboratory Technician,39,Male,2404,2,Yes,1,1,Yes,0.9466552,94.7,🔴 Critical,< $3K
65,Research & Development,Laboratory Technician,28,Male,3441,2,Yes,3,2,Yes,0.9455666,94.6,🔴 Critical,$3K-$6K
1767,Research & Development,Research Scientist,43,Male,2437,1,Yes,3,3,Yes,0.94526505,94.5,🔴 Critical,< $3K
1188,Sales,Sales Executive,43,Female,5346,4,No,3,2,Yes,0.9448912,94.5,🔴 Critical,$3K-$6K
918,Research & Development,Laboratory Technician,58,Male,2380,1,Yes,4,2,Yes,0.9444442,94.4,🔴 Critical,< $3K
1714,Human Resources,Human Resources,24,Male,1555,1,No,3,3,Yes,0.9434984,94.3,🔴 Critical,< $3K
1107,Research & Development,Laboratory Technician,26,Male,2377,1,No,3,2,Yes,0.9420529,94.2,🔴 Critical,< $3K
1522,Research & Development,Research Scientist,29,Male,2362,9,No,1,1,Yes,0.9419288,94.2,🔴 Critical,< $3K
376,Research & Development,Manager,47,Male,11849,10,Yes,2,2,Yes,0.94050217,94.1,🔴 Critical,> $10K
502,Sales,Sales Executive,34,Male,5304,5,Yes,4,2,Yes,0.93936676,93.9,🔴 Critical,$3K-$6K
147,Research & Development,Laboratory Technician,34,Male,6074,9,Yes,3,3,Yes,0.9386842,93.9,🔴 Critical,$6K-$10K
701,Research & Development,Research Scientist,20,Male,1009,1,Yes,3,3,Yes,0.93771845,93.8,🔴 Critical,< $3K
1037,Sales,Sales Executive,26,Male,4969,2,No,1,3,Yes,0.9377001,93.8,🔴 Critical,$3K-$6K
566,Human Resources,Human Resources,19,Male,2564,1,No,4,4,Yes,0.9376585,93.8,🔴 Critical,< $3K
1489,Sales,Sales Executive,34,Female,4599,15,Yes,2,4,Yes,0.9373466,93.7,🔴 Critical,$3K-$6K
1649,Research & Development,Laboratory Technician,40,Male,2166,4,Yes,1,1,Yes,0.93707067,93.7,🔴 Critical,< $3K
405,Research & Development,Laboratory Technician,18,Male,1420,0,No,3,3,Yes,0.93437815,93.4,🔴 Critical,< $3K
45,Research & Development,Research Scientist,24,Male,2293,2,Yes,4,2,Yes,0.933679,93.4,🔴 Critical,< $3K
243,Research & Development,Laboratory Technician,19,Male,1102,1,No,4,2,Yes,0.93347734,93.3,🔴 Critical,< $3K
555,Sales,Sales Representative,34,Female,2351,2,No,3,2,Yes,0.9331455,93.3,🔴 Critical,< $3K
1534,Research & Development,Laboratory Technician,40,Male,2018,5,No,1,1,Yes,0.9317058,93.2,🔴 Critical,< $3K
291,Sales,Sales Executive,32,Male,10400,14,No,4,2,Yes,0.9313339,93.1,🔴 Critical,> $10K
1127,Research & Development,Healthcare Representative,39,Male,12169,18,No,4,3,Yes,0.9311019,93.1,🔴 Critical,> $10K
1639,Sales,Sales Executive,35,Male,10306,13,No,1,3,Yes,0.93081903,93.1,🔴 Critical,> $10K
1684,Research & Development,Laboratory Technician,23,Male,3989,5,Yes,3,3,Yes,0.93079287,93.1,🔴 Critical,$3K-$6K
927,Research & Development,Laboratory Technician,41,Female,2778,7,Yes,4,2,Yes,0.93017405,93.0,🔴 Critical,< $3K
825,Research & Development,Research Director,58,Male,19246,31,Yes,2,3,Yes,0.92998964,93.0,🔴 Critical,> $10K
2055,Sales,Sales Executive,50,Male,10854,3,Yes,1,3,Yes,0.92992574,93.0,🔴 Critical,> $10K
494,Sales,Sales Representative,21,Female,2716,1,No,2,3,Yes,0.9289673,92.9,🔴 Critical,< $3K
1038,Sales,Manager,52,Female,19845,32,No,4,3,Yes,0.92880374,92.9,🔴 Critical,> $10K
1077,Sales,Sales Representative,20,Female,2323,2,Yes,4,3,Yes,0.9283459,92.8,🔴 Critical,< $3K
1175,Research & Development,Laboratory Technician,28,Female,2515,1,Yes,4,2,Yes,0.9280934,92.8,🔴 Critical,< $3K
364,Research & Development,Laboratory Technician,28,Male,3485,0,No,3,1,Yes,0.9277451,92.8,🔴 Critical,$3K-$6K
411,Sales,Sales Representative,18,Female,1200,0,No,3,3,No,0.92709196,92.7,🔴 Critical,< $3K
297,Research & Development,Research Scientist,30,Female,2657,5,Yes,1,3,Yes,0.9270318,92.7,🔴 Critical,< $3K
819,Sales,Sales Executive,33,Female,5324,3,No,1,3,Yes,0.926251,92.6,🔴 Critical,$3K-$6K
282,Research & Development,Healthcare Representative,38,Male,6673,1,Yes,1,3,Yes,0.92524314,92.5,🔴 Critical,$6K-$10K
785,Sales,Sales Executive,47,Female,6397,5,Yes,3,3,Yes,0.92442566,92.4,🔴 Critical,$6K-$10K
1421,Research & Development,Healthcare Representative,29,Female,7553,8,Yes,4,3,Yes,0.92297155,92.3,🔴 Critical,$6K-$10K
64,Research & Development,Laboratory Technician,48,Male,5381,1,Yes,3,3,Yes,0.9229578,92.3,🔴 Critical,$3K-$6K
1645,Sales,Sales Executive,35,Male,5440,2,Yes,4,2,Yes,0.92287046,92.3,🔴 Critical,$3K-$6K
647,Research & Development,Laboratory Technician,24,Female,2886,6,Yes,3,3,Yes,0.92286396,92.3,🔴 Critical,< $3K
1379,Sales,Sales Representative,31,Female,2785,1,No,4,4,Yes,0.92209387,92.2,🔴 Critical,< $3K
1167,Sales,Sales Executive,42,Male,13758,21,Yes,1,2,Yes,0.9217971,92.2,🔴 Critical,> $10K
593,Research & Development,Laboratory Technician,22,Male,3894,2,No,3,3,Yes,0.91960186,92.0,🔴 Critical,$3K-$6K
1156,Research & Development,Laboratory Technician,18,Male,1904,0,No,3,3,Yes,0.91930294,91.9,🔴 Critical,< $3K
1960,Research & Development,Laboratory Technician,28,Male,2367,4,No,4,2,Yes,0.9184997,91.8,🔴 Critical,< $3K
1967,Sales,Sales Executive,31,Male,5617,10,Yes,4,3,Yes,0.9180819,91.8,🔴 Critical,$3K-$6K
1537,Research & Development,Research Scientist,31,Female,4084,7,No,3,1,Yes,0.9151507,91.5,🔴 Critical,$3K-$6K
1797,Sales,Sales Executive,35,Male,5813,10,Yes,4,3,Yes,0.914638,91.5,🔴 Critical,$3K-$6K
1,Sales,Sales Executive,41,Female,5993,6,Yes,4,1,Yes,0.9142755,91.4,🔴 Critical,$3K-$6K
2032,Research & Development,Laboratory Technician,56,Male,2339,10,No,3,1,Yes,0.9142295,91.4,🔴 Critical,< $3K
1420,Research & Development,Laboratory Technician,49,Male,4284,4,No,1,3,Yes,0.913735,91.4,🔴 Critical,$3K-$6K
584,Research & Development,Laboratory Technician,33,Male,3408,4,No,4,3,Yes,0.91214967,91.2,🔴 Critical,$3K-$6K
1100,Sales,Sales Executive,35,Male,9582,8,Yes,1,3,Yes,0.91156125,91.2,🔴 Critical,$6K-$10K
1010,Research & Development,Laboratory Technician,35,Male,3743,4,Yes,2,1,Yes,0.9113714,91.1,🔴 Critical,$3K-$6K
1486,Sales,Sales Representative,28,Male,2909,3,No,3,4,Yes,0.9086538,90.9,🔴 Critical,< $3K
133,Human Resources,Human Resources,37,Male,2073,3,Yes,1,3,Yes,0.9086009,90.9,🔴 Critical,< $3K
1702,Sales,Sales Representative,23,Male,2275,3,Yes,4,3,Yes,0.9084542,90.8,🔴 Critical,< $3K
1780,Sales,Sales Representative,21,Male,2679,1,No,2,3,Yes,0.9084117,90.8,🔴 Critical,< $3K
582,Research & Development,Manager,33,Male,13610,7,Yes,3,4,Yes,0.90792805,90.8,🔴 Critical,> $10K
1299,Research & Development,Laboratory Technician,29,Female,3339,7,Yes,3,3,Yes,0.90762013,90.8,🔴 Critical,$3K-$6K
796,Sales,Sales Executive,26,Male,5326,4,No,1,2,Yes,0.9061363,90.6,🔴 Critical,$3K-$6K
445,Sales,Sales Executive,39,Female,5238,1,Yes,3,2,Yes,0.90532947,90.5,🔴 Critical,$3K-$6K
1752,Sales,Sales Representative,29,Female,2760,2,No,2,3,Yes,0.9044965,90.4,🔴 Critical,< $3K
1052,Research & Development,Laboratory Technician,36,Male,4834,1,No,3,2,Yes,0.90135556,90.1,🔴 Critical,$3K-$6K
1380,Sales,Sales Executive,35,Female,4614,4,Yes,3,2,Yes,0.9010476,90.1,🔴 Critical,$3K-$6K
1842,Human Resources,Human Resources,31,Male,2956,1,No,1,3,Yes,0.89976346,90.0,🔴 Critical,< $3K
590,Human Resources,Human Resources,34,Female,9950,3,Yes,1,3,Yes,0.89836633,89.8,🔴 Critical,$6K-$10K
328,Research & Development,Laboratory Technician,33,Female,2707,9,No,1,4,Yes,0.8968534,89.7,🔴 Critical,< $3K
1360,Research & Development,Manufacturing Director,58,Female,10008,10,Yes,1,2,Yes,0.8935882,89.4,🔴 Critical,> $10K
27,Sales,Sales Representative,36,Male,3407,5,No,1,3,Yes,0.8934567,89.3,🔴 Critical,$3K-$6K
142,Sales,Sales Executive,25,Male,5744,6,Yes,3,3,Yes,0.8925,89.2,🔴 Critical,$3K-$6K
1459,Research & Development,Manufacturing Director,31,Female,7446,10,No,2,3,Yes,0.8911384,89.1,🔴 Critical,$6K-$10K
1761,Sales,Sales Executive,31,Male,8161,1,No,3,3,Yes,0.89082426,89.1,🔴 Critical,$6K-$10K
1457,Sales,Sales Executive,46,Male,10096,7,No,4,4,Yes,0.89032507,89.0,🔴 Critical,> $10K
1747,Human Resources,Human Resources,30,Female,2180,4,No,4,2,Yes,0.8900059,89.0,🔴 Critical,< $3K
650,Sales,Sales Executive,31,Male,4233,3,No,1,1,Yes,0.889443,88.9,🔴 Critical,$3K-$6K
842,Sales,Sales Executive,55,Male,5160,9,No,4,2,Yes,0.88742834,88.7,🔴 Critical,$3K-$6K
2044,Sales,Sales Executive,50,Male,6728,6,No,3,3,Yes,0.88668334,88.7,🔴 Critical,$6K-$10K
1792,Research & Development,Research Scientist,44,Male,2342,5,Yes,2,2,Yes,0.88622427,88.6,🔴 Critical,< $3K
342,Research & Development,Manufacturing Director,37,Male,10048,1,No,3,3,Yes,0.886117,88.6,🔴 Critical,> $10K
118,Sales,Sales Executive,46,Male,9619,9,No,4,3,Yes,0.88548404,88.5,🔴 Critical,$6K-$10K
488,Sales,Sales Executive,41,Male,9355,8,No,2,3,Yes,0.8850127,88.5,🔴 Critical,$6K-$10K
1106,Research & Development,Laboratory Technician,25,Male,3691,7,Yes,4,4,Yes,0.8850092,88.5,🔴 Critical,$3K-$6K
684,Sales,Sales Executive,45,Female,4286,1,No,1,3,Yes,0.88325757,88.3,🔴 Critical,$3K-$6K
848,Research & Development,Research Scientist,26,Female,2366,8,Yes,3,3,Yes,0.8832458,88.3,🔴 Critical,< $3K
967,Sales,Sales Executive,36,Male,10325,16,Yes,4,3,Yes,0.8826721,88.3,🔴 Critical,> $10K
355,Research & Development,Laboratory Technician,31,Male,3479,5,No,2,4,Yes,0.8813945,88.1,🔴 Critical,$3K-$6K
1165,Sales,Sales Executive,29,Female,7336,11,No,1,1,Yes,0.88001746,88.0,🔴 Critical,$6K-$10K
42,Sales,Sales Representative,39,Male,2086,1,No,4,4,Yes,0.8791696,87.9,🔴 Critical,< $3K
1821,Research & Development,Healthcare Representative,46,Female,8926,9,No,2,4,Yes,0.8777032,87.8,🔴 Critical,$6K-$10K
723,Sales,Sales Executive,50,Male,6796,4,Yes,3,3,Yes,0.87687343,87.7,🔴 Critical,$6K-$10K
840,Sales,Sales Executive,49,Female,7654,9,No,4,4,Yes,0.8719307,87.2,🔴 Critical,$6K-$10K
1907,Research & Development,Laboratory Technician,56,Male,2587,4,No,4,3,Yes,0.8714296,87.1,🔴 Critical,< $3K
631,Sales,Sales Executive,32,Male,4707,4,No,3,3,Yes,0.8683314,86.8,🔴 Critical,$3K-$6K
1467,Human Resources,Human Resources,34,Female,2742,2,No,3,3,Yes,0.86784035,86.8,🔴 Critical,< $3K
433,Research & Development,Research Scientist,52,Male,4941,8,No,2,2,Yes,0.86662287,86.7,🔴 Critical,$3K-$6K
1809,Research & Development,Manufacturing Director,37,Male,4213,10,No,1,1,Yes,0.8635859,86.4,🔴 Critical,$3K-$6K
492,Sales,Sales Executive,40,Male,6380,6,Yes,3,3,Yes,0.8630321,86.3,🔴 Critical,$6K-$10K
565,Research & Development,Research Scientist,29,Female,2546,2,No,2,4,Yes,0.8566654,85.7,🔴 Critical,< $3K
283,Sales,Sales Executive,29,Female,7639,10,No,4,2,Yes,0.85429233,85.4,🔴 Critical,$6K-$10K
1157,Sales,Sales Executive,33,Female,8224,5,Yes,1,3,Yes,0.8518042,85.2,🔴 Critical,$6K-$10K
1310,Research & Development,Research Scientist,39,Male,3904,5,No,1,3,Yes,0.8478646,84.8,🔴 Critical,$3K-$6K
538,Research & Development,Laboratory Technician,25,Male,4031,2,No,1,3,Yes,0.84566903,84.6,🔴 Critical,$3K-$6K
1807,Research & Development,Laboratory Technician,34,Male,5346,7,No,1,2,Yes,0.84047645,84.0,🔴 Critical,$3K-$6K
922,Sales,Sales Representative,20,Female,2044,2,No,3,2,Yes,0.83492494,83.5,🔴 Critical,< $3K
1101,Research & Development,Research Scientist,33,Female,4508,13,No,3,3,Yes,0.8306829,83.1,🔴 Critical,$3K-$6K
1042,Research & Development,Laboratory Technician,36,Female,2743,17,No,1,3,Yes,0.8177249,81.8,🔴 Critical,< $3K
1961,Sales,Sales Representative,38,Male,2858,1,No,1,2,No,0.8153406,81.5,🔴 Critical,< $3K
1295,Research & Development,Healthcare Representative,44,Female,7978,10,No,4,3,Yes,0.81256396,81.3,🔴 Critical,$6K-$10K
787,Research & Development,Manager,55,Male,19859,5,Yes,1,3,Yes,0.8123959,81.2,🔴 Critical,> $10K
926,Research & Development,Manufacturing Director,22,Female,4171,3,Yes,3,4,Yes,0.81165314,81.2,🔴 Critical,$3K-$6K
1869,Sales,Sales Executive,46,Female,7314,8,No,2,3,Yes,0.8096937,81.0,🔴 Critical,$6K-$10K
702,Research & Development,Research Scientist,33,Male,3348,10,Yes,1,3,Yes,0.80754834,80.8,🔴 Critical,$3K-$6K
1056,Sales,Sales Representative,28,Male,1052,1,No,2,3,No,0.8027857,80.3,🔴 Critical,< $3K
1613,Sales,Sales Executive,31,Male,5332,5,No,1,3,No,0.8015058,80.2,🔴 Critical,$3K-$6K
1562,Sales,Sales Executive,30,Male,9714,10,No,1,3,Yes,0.79800653,79.8,🔴 Critical,$6K-$10K
1318,Sales,Sales Executive,40,Male,9094,5,Yes,2,3,Yes,0.797749,79.8,🔴 Critical,$6K-$10K
1160,Research & Development,Laboratory Technician,31,Male,2610,2,No,3,2,Yes,0.7920171,79.2,🔴 Critical,< $3K
1646,Research & Development,Research Scientist,24,Female,3760,6,Yes,4,3,No,0.789977,79.0,🔴 Critical,$3K-$6K
934,Research & Development,Laboratory Technician,34,Male,2008,1,No,2,3,No,0.7724831,77.2,🔴 Critical,< $3K
1200,Research & Development,Research Scientist,44,Male,2936,6,Yes,3,3,Yes,0.77203876,77.2,🔴 Critical,< $3K
1033,Research & Development,Healthcare Representative,37,Female,4777,1,No,2,1,Yes,0.7702503,77.0,🔴 Critical,$3K-$6K
667,Sales,Sales Representative,27,Male,3041,4,No,1,3,Yes,0.75777686,75.8,🔴 Critical,$3K-$6K
1573,Research & Development,Manufacturing Director,38,Male,4855,5,No,2,3,Yes,0.73585033,73.6,🔴 Critical,$3K-$6K
828,Research & Development,Research Scientist,28,Male,4382,2,No,3,2,Yes,0.7343635,73.4,🔴 Critical,$3K-$6K
1839,Research & Development,Research Scientist,18,Female,1514,0,No,3,1,No,0.732081,73.2,🔴 Critical,< $3K
1974,Research & Development,Laboratory Technician,31,Female,1129,1,Yes,4,3,No,0.7299803,73.0,🔴 Critical,< $3K
248,Sales,Sales Representative,41,Female,3140,4,Yes,2,2,Yes,0.71625173,71.6,🔴 Critical,$3K-$6K
1309,Research & Development,Laboratory Technician,32,Male,4883,10,No,3,3,Yes,0.71418726,71.4,🔴 Critical,$3K-$6K
991,Research & Development,Research Scientist,31,Male,2321,3,Yes,1,3,Yes,0.70038825,70.0,🔴 Critical,< $3K
4,Research & Development,Laboratory Technician,37,Male,2090,0,Yes,3,3,Yes,0.69060785,69.1,🟠 High,< $3K
1893,Research & Development,Research Scientist,26,Female,2933,1,Yes,3,2,No,0.68905944,68.9,🟠 High,< $3K
1198,Research & Development,Laboratory Technician,20,Male,3033,2,No,3,2,No,0.6833873,68.3,🟠 High,$3K-$6K
144,Research & Development,Laboratory Technician,22,Female,2871,0,No,4,3,No,0.6651136,66.5,🟠 High,< $3K
773,Research & Development,Research Scientist,38,Male,3057,1,Yes,3,1,No,0.6595258,66.0,🟠 High,$3K-$6K
1720,Research & Development,Research Scientist,32,Male,3433,5,No,3,2,No,0.6503534,65.0,🟠 High,$3K-$6K
1581,Research & Development,Research Scientist,26,Female,2061,1,No,4,3,No,0.6411311,64.1,🟠 High,< $3K
1439,Sales,Sales Representative,25,Male,4400,3,No,1,3,Yes,0.62818974,62.8,🟠 High,$3K-$6K
434,Research & Development,Research Scientist,27,Female,2478,4,Yes,2,2,No,0.616061,61.6,🟠 High,< $3K
1818,Human Resources,Human Resources,26,Female,2148,5,Yes,2,3,Yes,0.6038379,60.4,🟠 High,< $3K
2021,Sales,Sales Representative,21,Male,2380,2,Yes,1,3,No,0.58673847,58.7,🟠 High,< $3K
47,Sales,Sales Representative,50,Male,2683,3,Yes,3,3,Yes,0.5817746,58.2,🟠 High,< $3K
315,Research & Development,Research Scientist,29,Male,2389,4,Yes,4,2,Yes,0.57681495,57.7,🟠 High,< $3K
896,Sales,Sales Representative,29,Female,2800,3,Yes,3,3,Yes,0.5752218,57.5,🟠 High,< $3K
720,Sales,Sales Executive,24,Female,4577,2,No,3,3,Yes,0.5651021,56.5,🟠 High,$3K-$6K
1650,Sales,Sales Executive,29,Male,5869,5,No,3,3,No,0.5642491,56.4,🟠 High,$3K-$6K
939,Research & Development,Research Scientist,33,Male,2799,3,Yes,1,3,No,0.54732823,54.7,🟠 High,< $3K
923,Research & Development,Research Scientist,21,Female,2693,1,No,4,2,Yes,0.5080506,50.8,🟠 High,< $3K
90,Research & Development,Research Scientist,36,Male,3388,1,Yes,3,2,Yes,0.50733644,50.7,🟠 High,$3K-$6K
833,Research & Development,Manufacturing Director,30,Female,6877,0,Yes,4,2,No,0.50723875,50.7,🟠 High,$6K-$10K
